,publish_date,headline_category,headline_text,Label
45,20020301,city.ahmedabad,GEB cashier attacked; Rs 50;000 looted,0
46,20020301,business.india-business,Merger logical; to boost HPCL; BPCL bid: Analysts,0
47,20020302,city.kolkata,Bengal political tradition ensures amity,0
48,20020307,city.hyderabad,BJP offers speaker to TDP again,0
49,20020314,bangalore-times,KSRTC bus station gets public-friendly,0
50,20020315,city.bengaluru,Godhuli is 100; Gurudutt upbeat,0
51,20020326,india,Ban Sangh Parivar outfits: Christian council,1
52,20020402,city.lucknow,HC disposes of writ on absorption,0
53,20020408,india,Longer it takes; the better for Mayawati,1
54,20020425,unknown,Bhambri to clash with Goutam,2
55,20020426,city.lucknow,14;000 pouches of liquor seized,0
56,20020502,city.hyderabad,Rallies mark May Day celebrations,0
57,20020508,delhi-times,NY falls in love with Aamir Khan,0
58,20020509,bombay-times,Robert Miles plays the Mumbai chord,0
59,20020511,india,Police depts at logger heads in Sidhu case,1
60,20020515,city.delhi,Karol Bagh won't lose trees; one-way traffic plan likely,0
61,20020519,unknown,Will journalist pen fall to the sword of Uncle Sam?,2
62,20020522,city.delhi,Decision on trial date in Parliament attack today,0
63,20020526,lucknow-times,All aboard; touts ahoy!,0
64,20020601,city.bengaluru,HC dismisses PIL on President post,0
65,20020606,business.india-business,Ajit Singh rules out ban on Bt cotton seeds,0
66,20020616,city.hyderabad,CM takes a dig at communists,0
67,20020619,city.lucknow,BJP shuts door on media,0
68,20020622,city.hyderabad,Rabey Nadvi elected AIMPLB president,0
69,20020628,lucknow-times,Celluloid encore: Play it again Bollywood,0
70,20020629,city.thiruvananthapuram,KSMTF march to Secretariat on Aug 5,0
71,20020711,india,Charges against Vaiko,1
72,20020712,india,BJP finalises names for induction into UP Cabinet,1
73,20020713,city.chandigarh,Punjab to levy entry tax on yarn,0
74,20020714,unknown,Knight after Knight,2
75,20020725,city.chandigarh,People's verdict must about new districts: Cong,0
76,20020727,city.chandigarh,Advani promises to look into Loomba case,0
77,20020804,business.india-business,Raymond looking at acquisitions,0
78,20020805,unknown,Special force to guard embassies in Pak,2
79,20020814,city.patna,Rising trend of Bihar rivers continues,0
80,20020821,city.lucknow,Brajesh's nephew in police custody,0
81,20020822,india,EC calls meet to review J&K poll preparations,1
82,20020822,unknown,UK must stop people funding J&K militants: Advani,2
83,20020901,city.chandigarh,Brigadier booked for manhandling,0
84,20020904,cricket,Star players have everything to lose,0
85,20020906,business.india-business,Warburg may defer GACL plan,0
86,20020907,unknown,Body building in Asian games for first time since 1951,2
87,20020921,city.patna,Scarcity of life-saving drugs hits Vaishali district,0
88,20021001,city.pune,Commuters on crowded locals brave stones too,0
89,20021005,city.ahmedabad,Rally turns violent in Bhavnagar,0
90,20021014,unknown,Mark Philippoussis to participate at Tata Open,2
91,20021015,unknown,Outsourcing Is In,2
92,20021027,calcutta-times,Harmony concert to usher in Kali Puja at Dakshineswar,0
93,20021101,unknown,Kadamba Transport traffic earnings up,2
94,20021207,city.patna,Prisoners revel on Eid in Beur jail,0
95,20021209,india,Brigand still roams; despite STFs and crores of rupees,1
96,20021217,city.mumbai,US teacher gives a hands-on green lesson,0
97,20021223,city.lucknow,BJP to review coalition performance in state,0
98,20030104,bombay-times,Anyone for some car seva?,0
99,20030113,hyderabad-times,The notes of a cure,0
100,20030114,unknown,Night curfew to continue in Lunawada,2
101,20030118,india,National Security Advisory Board reconstituted,1
102,20030122,city.lucknow,Convocation stars that might just not twinkle,0
103,20030122,unknown,Indian Davis Cup team to sport national colours,2
104,20030128,unknown,Double for Rajeev,2
105,20030130,city.chandigarh,DIG rank officer charged with not paying contractor,0
106,20030131,business.india-business,Small storm in a big cup,0
107,20030216,home.sunday-times.deep-focus,The Devil's alternative,0
108,20030220,city.pune,Environment report raps PCMT for air pollution,0
109,20030221,city.chandigarh,Jail inmates' hospital yearnings checked,0
110,20030306,city.bengaluru,HC dismisses plea against unauthorised structure,0
111,20030306,city.chandigarh,VB finds 300 gm gold in Sharma's locker,0
112,20030307,world.us,Khalid predicts attacks on US in case of war,0
113,20030318,city.pune,MCSAC receives complaints from Aundh,0
114,20030318,city.thiruvananthapuram,'AI is ready to evacuate Indians; if necessary',0
115,20030327,bombay-times,Women neurosurgeons in a meeting of minds,0
116,20030404,city.hyderabad,Arrest Vasavi's ex-MD: Staff,0
117,20030406,city.delhi,Break up DDA; say experts,0
118,20030416,city.lucknow,Priyanka provides healing touch to Dalits,0
119,20030417,india,Mobile services in J&K by end of April,1
120,20030421,india,Gang of grenade-throwing militants busted in JK,1
121,20030421,city.bengaluru,Farmers throw it away,0
122,20030428,city.lucknow,An acid test for SP; BSP,0
123,20030430,pune-times,Property cards just a day away,0
124,20030506,city.kolkata,Mystery shrouds policeman's return,0
125,20030512,lucknow-times,TV soaps lose their lather,0
126,20030515,pune-times,When the going's good,0
127,20030526,city.pune,It's the death of dissent,0
128,20030528,ahmedabad-times,Flop shows,0
129,20030608,city.thiruvananthapuram,Monsoon hits Kerala; many places receive rain,0
130,20030610,city.lucknow,Masjid case: CBI lets 13 accused off the hook,0
131,20030612,unknown,New stadiums in Uttranchal to boost sports,2
132,20030615,delhi-times,To Gregory Peck; with love,0
133,20030621,city.chandigarh,Ludhiana boy ninth in IIT-JEE exam,0
134,20030624,city.hyderabad,Centre is anti-farmer: Ajit Singh,0
135,20030625,city.bengaluru,Border row: legal panel constituted,0
136,20030626,city.delhi,Man arrested for cheating customers,0
137,20030713,city.kolkata,Centre; Bengal locked in CAS politics,0
138,20030807,business.india-business,'It's tough to enter Stanford now',0
139,20030808,city.delhi,Summons in Geelani case,0
140,20030817,city.delhi,Five pimps convicted,0
141,20030821,india,JPC to probe into cola controversy,1
142,20030824,city.mumbai,Top hitman killed in encounter,0
143,20030904,city.thiruvananthapuram,Menon's candidature no threat to CPI(M): Pinarayi,0
144,20030905,city.thiruvananthapuram,Karunakaran; son resent high command's choice,0
145,20030916,city.patna,Delay worries varsity body,0
146,20030916,city.delhi,Builder to repay instalment money,0
147,20030921,city.delhi,Delhi a safe haven for rapists,0
148,20030928,city.lucknow,Citizens say no to LUSU poll,0
149,20030929,city.chandigarh,Kale Kachewala robs 13 houses in Ludhiana,0
150,20031009,lucknow-times,Vegetables drive a pricey wedge,0
151,20031016,city.bengaluru,Govt complies with SC order on medical admissions,0
152,20031019,city.mumbai,Sonia hits out at Pawar,0
153,20031028,business.international-business,At MIT; share music via cable,0
154,20031030,india,Baramulla natives rejoice Geelani's acquittal,1
155,20031111,city.mumbai,Telgi scam: Shinde rejects demand for CBI probe,0
156,20031114,unknown,Lady behind the spirited force,2
157,20031203,delhi-times,For the love of our neighbours,0
158,20031205,unknown,Cottons in final,2
159,20031215,city.hyderabad,Rail-bus ticketing system to take off,0
160,20031218,delhi-times,Howzzat? It's a fan-tastic win!,0
161,20031231,city.lucknow,3 THC scam accused file replies,0
162,20040103,business.india-business,Ajeya Singh is CSFB India head,0
163,20040106,city.chandigarh,Kalam to return to his first love,0
164,20040108,business.india-business,Rewards for the homeward bound,0
165,20040124,city.lucknow,Rahul; Priyanka buoy Congressmen's spirits,0
166,20040202,city.hyderabad,Bread sweetens Bakrid feast,0
167,20040207,india,Ram temple is unfinished biz: PM,1
168,20040220,city.chandigarh,BJP to launch poll campaign in Hoshiarpur on Saturday,0
169,20040228,india,5 LeT men killed in J&K encounter,1
170,20040311,business.india-business,Hero Honda ranked 3 in India again,0
171,20040319,city.chandigarh,Chandigarh to follow Singapore; Malaysia in planning,0
172,20040407,city.thiruvananthapuram,ADGP to probe into Kannur jail clash,0
173,20040413,city.lucknow,For them; it's home away from home,0
174,20040420,city.chandigarh,Dissidence in Hoshiarpur BSP,0
175,20040430,cricket,Inzy eyes revenge via Abu Dhabi face off,0
176,20040509,india,Two militants killed in J&K,1
177,20040513,india,JD(S) divided on whom to support,1
178,20040514,unknown,'Bush recognises Indians in America',2
179,20040524,unknown,Disinvestment out; NRI ministry in,2
180,20040528,city.pune,Savarkar's birth anniversary celebrated,0
181,20040529,hyderabad.local-sports,Beach volleyball probables for coaching camp,0
182,20040603,india,Laloo to travel incognito to assess rail problems,1
183,20040604,india,Hot Line: Natwar speaks to Kasuri,1
184,20040621,city.chandigarh,Fake notes: Alert at Golden Temple,0
185,20040627,delhi-times,Jesse jaisi koi nahin?,0
186,20040706,unknown,Cricket team to campaign for girls' education,2
187,20040708,unknown,Don't interfere with DK Trust; govt told,2
188,20040717,city.delhi,Robbery bid foiled; 4 held,0
189,20040718,india,Ever wondered what makes a good drought?,1
190,20040806,city.ahmedabad,Dam Alarm: Narmada waters bring flood fear,0
191,20040807,pune-times,RBI's online connection,0
192,20040809,city.ahmedabad,Bilkis case more potent than Best,0
193,20040812,city.delhi,HC comes to rescue of rape victim,0
194,20040825,city.bengaluru,Uma remanded to judicial custody,0
195,20040901,unknown,Weighing gainful options,2
196,20040902,india,Zari worker weaves a dream,1
197,20040907,india,No plan to reinstate Bharati: BJP,1
198,20040917,pune-times,Larger than life images thanks to new tech,0
199,20040923,unknown,NEC sets its foot in India,2
200,20040930,unknown,Pravasi Bharatiya Diwas means business: Tytler,2
201,20041012,city.delhi,'Foolproof scan of cargo impossible',0
202,20041107,city.kolkata,Trains collide head-on in Nadia; 55 injured,0
203,20041204,city.bengaluru,Alarm over pornography on Internet,0
204,20041220,india,Lalu comes clean on cash doled,1
205,20050105,city.bengaluru,Wrong call: They got trapped,0
206,20050201,city.patna,Ex-PM's poser: Reject men; elect eunuch,0
207,20050210,india,Is water food; court asks Centre,1
208,20050219,delhi,Make your home your oyster,0
209,20050302,city.bengaluru,Steep mountain ahead to climb,0
210,20050304,ahmedabad-times,Did he? Didn't he?,0
211,20050312,india,Top Hizbul commander surrenders in J-K,1
212,20050314,world.us,Plague 'blessed' Europe with HIV immunity,0
213,20050325,india,Modi trip cancelled: Whodunnit?,1
214,20050330,city.patna,BIT branch in Patna from July,0
215,20050414,city.lucknow,Another chapter from AP Singh saga,0
216,20050420,city.lucknow,Court stays 98 admissions,0
217,20050429,city.ahmedabad,Mystery behind missing NRI deepens,0
218,20050603,india,US invites Nagapattinam collector,1
219,20050620,unknown,Pataudi in trouble,2
220,20050712,unknown,Party special: Dum maro dum for fun!,2
221,20050727,entertainment,Sex MMS to replace movies; TV,0
222,20050825,unknown,Anil Kumar breaks the National 100-m record,2
223,20050906,city.mumbai,Too many gangs give cops sleepless nights,0
224,20050913,bombay-times,'Turn off the light; darling',0
225,20050926,business.india-business,Network marketing set to hit India,0
226,20051009,top-stories,India let Australia take home the prize,0
227,20051020,city.patna,Cocky veteran vs confident novice,0
228,20051022,india,Godhra train burning: Eyewitnesses' version,1
229,20051025,india,WB sends samples for bird flu test,1
230,20051030,city.chandigarh,TV channel told to give original clippings,0
231,20051109,city.chandigarh,Nursing home to pay for negligence,0
232,20051114,business.india-business,Mobile Delhi turns 10; so does Bharti,0
233,20051123,calcutta-times,Man; I feel lonely!,0
234,20051207,unknown,Marriages in quake-hit Pakistan,2
235,20051208,city.delhi,Dar's custody extended by 13 days,0
236,20051218,india,Posco's green signal for Orissa project,1
237,20051221,city.patna,Make Bihar a manufacturing state: Nitish,0
238,20051221,city.delhi,Demolition drive in top gear,0
239,20060101,india,Custody for rapists of NRI model,1
240,20060103,city.delhi,Metro runs into Monday crowd; rainy day,0
241,20060111,home.science,Slept well? Your counting could go wrong,0
242,20060209,city.pune,'Kama Sutra' gives state a hard time,0
243,20060215,city.bengaluru,Sadashivnagar goes the Koramangala way,0
244,20060225,city.lucknow,'Artificial cells with expanded genetic code',0
245,20060301,city.ahmedabad,MLA demands statehood for Kutch,0
246,20060308,city.lucknow,News channel staff beaten; car torched,0
247,20060309,india,Where is Zahira? Cops desperate,1
248,20060403,india,Left parties petition EC on W Bengal,1
249,20060406,city.patna,Three jail officials suspended,0
250,20060408,home.sunday-times.all-that-matters,VIEW FROM THE TOP: Bollywood grows up,0
251,20060414,unknown,One for vegans in a state with 84% non-vegetarians,2
252,20060505,unknown,Mahajan gets an emotional farewell,2
253,20060508,city.patna,No limit for those flying in the sky: Nitish,0
254,20060513,unknown,What is Guy Fawkes Night?,2
255,20060526,sports.football,Houghton emerges leading contender,0
256,20060527,india,CPI(M) member killed; another seriously injured,1
257,20060601,sports.football,Villarreal refuse to part with Forlan,0
258,20060607,india,Centre's nod for nuke power plant in Bihar,1
259,20060608,world.rest-of-world,Taliban feel the heat before Nato meet; 27 killed,0
260,20060621,city.lucknow,Governor; HC in a face-off,0
261,20060624,india,Nalco employees halt work to oppose selloff,1
262,20060625,world.rest-of-world,Arcelor to decide between rival suitors,0
263,20060701,india,CPI(M) leader Satyanarayana dead,1
264,20060712,india,Larger SC Bench may tackle MPLADS case,1
265,20060713,india,Police make sketches of suspects,1
266,20060717,city.delhi,European look,0
267,20060729,india,Singer Udit Narayan files complaint,1
268,20060729,delhi-times,'Rome wasn't built in a day; neither was I',0
269,20060730,city.ahmedabad,What ails MSU?,0
270,20060801,city.kolkata,Buddha; Basu in spat over 'evil' Dalmiya,0
271,20060804,delhi-times,Out of the closet: Royal accepts gay son,0
272,20060804,sports.football,Bagan to take part in Man U tourney,0
273,20060812,home.sunday-times.deep-focus,Merit; not quota,0
274,20060817,india,'He wanted bodyguard post',1
275,20060819,india,Defence workers to launch agitation,1
276,20060830,city.chandigarh,Shop rentals: Up; up and away,0
277,20060908,unknown,Netherland beat SA 2-0 in WC hockey,2
278,20060911,india,Jessica case: Accused doctor granted bail,1
279,20060919,bangalore-times,Just the job,0
280,20061011,city.patna,CM to distribute portfolios today,0
281,20061108,city.mumbai,Park your money,0
282,20061115,lucknow-times,'There's no one in my life right now',0
283,20061121,business.india-business,Infy owners offer to sell stake in ADS,0
284,20061208,business.india-business,MUL to invest Rs 9;000 cr for upgradation,0
285,20061213,ahmedabad-times,Too many cooks ..,0
286,20061220,unknown,Flintoff not sure of captaincy,2
287,20070102,city.mumbai,NCP set to be lone ranger in civic polls,0
288,20070120,unknown,New role would be challenging for Tendulkar: Chappell,2
289,20070122,unknown,Readerspeak: Why are Indians fighting?,2
290,20070206,business.india-business,Metro buys retail space in Mumbai,0
291,20070210,india,Set up federal agency to tackle terror: BJP,1
292,20070212,unknown,Uthappa; Kaarthick confident for WC,2
293,20070219,india,'There was a loud noise; followed by smoke',1
294,20070224,city.ahmedabad,He hates Parzania,0
295,20070303,city.bengaluru,No power cuts,0
296,20070307,india,Nithari: SC rejects plea to transfer trial to Delhi,1
297,20070309,unknown,I'm not a star: Muttiah Muralitharan,2
298,20070311,india,9 killed; 28 injured in a mishap in Orissa,1
299,20070403,india,SAARC leaders seek 'bold' steps to combat terror,1
300,20070408,world.pakistan,International airport for Islamabad,0
301,20070415,india,Insurer may end up paying lakhs for Pareira's 'revelry',1
302,20070505,unknown,The day in pics: May 5,2
303,20070528,india,Fake encounter: Court issues arrest warrant against 5 cops,1
304,20070531,business.india-business,DLF Assets to be listed on bourses,0
305,20070602,entertainment.hindi.bollywood.previews,The Train (Now Playing),0
306,20070603,unknown,Some way to go on nuke deal; talks likely after G-8,2
307,20070616,city.pune,Zooming in on auto innovation,0
308,20070702,unknown,Day 32: Fourth day to go; RTW still stuck in Magadan,2
309,20070702,business.international-business,US takes shine off gold exports,0
310,20070703,sports.icc-world-cup-2015,Just doesn't do it,0
311,20070705,unknown,UK may begin strict checks on migrants,2
312,20070706,business.international-business,Arcelor Mittal's ex-CEO to retire from board,0
313,20070712,unknown,Check your Potter Quotient,2
314,20070717,unknown,Ramu's Sholay turns into Aag,2
315,20070730,india,Boat capsizes in Ganges; one dead; dozen feared drowned,1
316,20070804,bombay-times,Lohan lashes out at actresses!,0
317,20070810,city.delhi,Sweet pills for Asiatic lion,0
318,20070913,sports.icc-world-cup-2015,BCCI's IPL an antidote to ICL,0
319,20070915,entertainment.events.mumbai,A dazzling evening,0
320,20070918,entertainment.events.hyderabad,Spirit of the season!,0
321,20070930,business.india-business,Hopes ride high on young professionals: Mukesh Ambani,0
322,20071008,india,Rail traffic restored as Raje govt begins talks with Gujjars,1
323,20071014,city.kolkata,Mamata Banerjee visits Rizwanur home; demands CBI probe,0
324,20071027,unknown,JD(S) defends decision to support BJP,2
325,20071027,city.hyderabad,Govt seals two cracker shops,0
326,20071029,tech,'Tech stocks to grow globally',0
327,20071030,entertainment.events.bangalore,Ratan Thiyam's play screening,0
328,20071102,business.india-business,PMO wants a regulator for coal,0
329,20071114,entertainment.hindi.bollywood.news,I'm a very boring person: Priyanka,0
330,20071119,entertainment.english.hollywood.previews,Beowulf (Now Playing),0
331,20071218,entertainment,Khan's directorial debut to be a multi-starrer,0
332,20071223,india,IAF buys new radars to boost up coastal surveillance,1
333,20071224,city.bengaluru,Liquor license demand gathers steam,0
334,20071231,sports.icc-world-cup-2015,Ranatunga appointed Chairman of Sri Lanka Cricket,0
335,20080101,home.environment.flora-fauna,Three held for trading in snake venom,0
336,20080103,entertainment.hindi.bollywood.news,Anushka's philosophy,0
337,20080111,unknown,Benson should have consulted Steve: Ganguly,2
338,20080112,city.chandigarh,Haryana to host 'Summit-2008',0
339,20080131,unknown,Jeev; Jyoti trail Woods in Dubai Desert Classic,2
340,20080207,city.nagpur,4 arrested for selling titars,0
341,20080212,india,Exiled Lankan leader's daughter marries Indian,1
342,20080214,city.lucknow,Monkey menace nearly kills woman,0
343,20080218,business.india-business,SBI Capital to set up Rs 400-crore VC fund,0
344,20080218,city.pune,Local groups offer salve to N Indians,0
345,20080220,city.ahmedabad,Gujarati boy; Surinam lass for Bhojpuri flick,0
346,20080302,unknown,Sold out!,2
347,20080314,tech,No ban on BlackBerry services,0
348,20080329,city.pune,Rani to pay Rs 66 lakh for plot,0
349,20080411,city.mumbai,Two killed; 24 hurt in accident,0
350,20080412,city.ahmedabad,Key to Sadiq encounter with journalist,0
351,20080413,entertainment.hindi.bollywood.news,Krazzy 4 a lift?,0
352,20080414,city.pune,Temperature touches 39.1 degree C,0
353,20080419,sports.tennis,Blake into last four on Houston clay,0
354,20080421,india,Mamata convoy attacked in Nandigram,1
355,20080424,entertainment.events.kolkata,Dancing in the rain,0
356,20080424,sports.icc-world-cup-2015,Kings XI wish Tendulkar on his 35th birthday,0
357,20080501,city.patna,Cong dharna against price rise,0
358,20080505,tech,What went wrong with Yahoo!,0
359,20080506,unknown,RS adjourned over Women's Bill,2
360,20080511,sports.icc-world-cup-2015,Rajasthan beat Delhi by 3 wickets,0
361,20080520,india,No trade deal without meeting livelihood concerns: India,1
362,20080604,sports,A to Z of IPL,0
363,20080606,life-style.fashion.shows,Walking in style,0
364,20080611,entertainment.english.hollywood.news,Liv Tyler hopeful about finding love,0
365,20080626,india,Muslim League chief Banatwala dies,1
366,20080703,city.kolkata,Terror scare sparks rush for insurance,0
367,20080703,unknown,How to buy the right cell phone,2
368,20080704,city.chandigarh,Rohtak to get an IIM,0
369,20080706,unknown,Another double retirement for Force India in 'home' race,2
370,20080717,india,TRS looks to Maya to bring about Cong fall,1
371,20080722,unknown,Indian worker found strangled in Jeddah,2
372,20080723,entertainment.events.delhi,Do with an Egyptian touch,0
373,20080725,india,Rahul effect: Kalawati gets buffalo and a house,1
374,20080729,life-style,Seduce your girl with humour,0
375,20080801,india,Payback? Centre upgrades Amar's security to Z-plus,1
376,20080803,unknown,Two news channels blacked out in Jammu; protests continue,2
377,20080805,city.delhi,BSES blames contractor for sewer cleaner's death,0
378,20080813,business.india-business,Tesco enters Indian retail with Tata Trent,0
379,20080813,tech.tech-news,We respect user privacy: Google,0
380,20080818,news,Paddler Neha Aggarwal makes early exit,0
381,20080819,entertainment.english.hollywood.news,Hollywood's casting calamities revealed,0
382,20080823,business.india-business,India Inc taps commercial paper,0
383,20080827,city.bengaluru,NICE contempt case adjourned,0
384,20080831,hot-on-the-web,Hot today: Bizarre,0
385,20080902,city.chennai,Don't liken me to Drona; says Karunanidhi,0
386,20080905,city.kolkata,Land prices skyrocket in Howrah; Hooghly,0
387,20080914,city.ahmedabad,Gandhiji's 'mobile toilet' to be displayed,0
388,20080917,city.hyderabad,42 special trains for Dasara,0
389,20080922,city.delhi,Bombers secrets begin to tumble out,0
390,20080923,entertainment.hindi.bollywood.news,Hari Puttar: The boy who won,0
391,20080925,business.india-business,BCCL picks up stake in Royal Hygiene,0
392,20080929,city.delhi,Atif module included a teenager,0
393,20081010,unknown,Babylon A.D.,2
394,20081010,sports.icc-world-cup-2015,Hussey says he feels at home with Indian conditions,0
395,20081014,unknown,'India to achieve 35% power from N-plants by 2050',2
396,20081014,city.nagpur,CBI: Rs 28 cr scam in WCL,0
397,20081016,india,Early winter? Kashmir Shivers after first snow,1
398,20081024,india,Protesters in Bihar set rly station on fire,1
399,20081024,city.mumbai,HC relief for state in green zone case,0
400,20081024,city.mumbai,Roy challenges CAT order in HC; calls it 'illegal',0
401,20081028,unknown,Heat is on Hamilton; says Massa,2
402,20081030,city.chennai,Puzzle of the loops and ramps,0
403,20081106,india,Somnath Chatterjee admitted to hospital in New Delhi,1
404,20081108,city.mumbai,Delhi firm's employee held for money scheme fraud,0
405,20081116,home.environment.global-warming,'Brown clouds way of getting at India; China',0
406,20081117,sports.golf,Jeev breaks into top 50; ranked 46th,0
407,20081119,city.hyderabad,Realtors now chant mantra of affordable housing,0
408,20081121,city.goa,Elephant knocks down forest guard,0
409,20081130,india,26th a bad omen for India,1
410,20081205,entertainment.hindi.bollywood.news,Global fame? P-Akki,0
411,20081206,entertainment,George Clooney eyeing another waitress,0
412,20081211,city.mumbai,An exhibition touching several humanitarian aspects,0
413,20081215,city.mumbai,Coat of armour on Mumbai roads,0
414,20081221,city.pune,CFCs illegally collecting electricity bills: MSEDCL,0
415,20081221,city.bengaluru,Woman killed in cylinder blast,0
416,20081221,sa-aiyar.swaminomics,Economic forecasts: The good; the bad and the ugly,0
417,20081225,city.ahmedabad,SIT summons VHP leader; minister,0
418,20081227,city.thane,Load-shedding affects 60 per cent of city's business,0
419,20081227,business.india-business,Irked complainants avoid banks; complain to ombudsman first,0
420,20090104,city.bengaluru,Kidnappers snatch auto driver's son,0
421,20090105,business.india-business,Airlines play zero basic fare card,0
422,20090105,india,Jamiat asks govt to clarify report that JeM chief had met Deoband ulemas,1
423,20090106,city.mumbai,Rane stalls plan to quit Congress,0
424,20090109,city.ahmedabad,Top Jain business groups to power JITO,0
425,20090110,city.bengaluru,CAT journey far from over,0
426,20090110,unknown,SFIO team asked to get magistrate permission to quiz Raju,2
427,20090110,city.rajkot,Sandhi sent to 9-day police remand,0
428,20090111,business.india-business,Parekh; Karnik & Achutan join Satyam board,0
429,20090111,unknown,Acting CEO drew more than Raju & entire Satyam board together,2
430,20090117,unknown,Jelena Jankovic,2
431,20090120,city.patna,Trade unions to intensify stir,0
432,20090120,city.bengaluru,Why are we kept out; asks Delhi Metro,0
433,20090121,unknown,Indian army doctor performs 30 eye surgeries in Congo,2
434,20090128,city.mumbai,Toxic and now expensive,0
435,20090131,city.pune,DLitt awarded to indologists Shastri; Joshi,0
436,20090214,unknown,Get naughty with 'love-games',2
437,20090214,city.patna,Govt asks banks to finance tractors,0
438,20090215,india,US envoy Holbrooke arrives in India,1
439,20090216,city.mumbai,Studios target tweens with merchandise,0
440,20090222,city.lucknow,Foresters now get after Kheri man-eater,0
441,20090225,sports.icc-world-cup-2015,Vettori praises bowlers for shaping win over India,0
442,20090226,city.chennai,CBSE; schools counsel parents before exams,0
443,20090228,city.vadodara,PTC; BEd college trustee shot at in Lunawada,0
444,20090306,city.delhi,DA case: Plea of ex-babu quashed,0
445,20090312,city.kanpur,Unable to play colours; man ends life,0
446,20090312,unknown,Indian family of three killed in Philippines,2
447,20090313,city.thane,Get; set; zoom,0
448,20090314,sports.tennis,Bhupathi advances; Sania out of women's doubles,0
449,20090317,world.pakistan,Pak govt hands over to FIA India's response to 30 queries,0
450,20090320,life-style.fashion.trends,Creative bras up for grabs to fight breast cancer,0
451,20090321,tech.tech-news,$6 bn govt projects for IT cos,0
452,20090322,unknown,Can a knot untangle their lives?,2
453,20090322,city.chennai,AAI trains cargo staff; agents to handle hazardous goods,0
454,20090323,city.hyderabad,Four AP students die in US car crash,0
455,20090326,city.allahabad,AU post-graduate admission tests on June 15; 16,0
456,20090402,city.mumbai,Western suburbs face acute water shortage,0
457,20090403,city.bengaluru,China-made mobiles will go dead soon,0
458,20090403,city.vadodara,FGI's new team takes charge,0
459,20090404,unknown,Button takes pole again; Trulli follows,2
460,20090404,city.surat,Plastics unit catches fire in Daman; huge losses feared,0
461,20090407,city.ahmedabad,Controversial cop Parmar finally hangs up his boots,0
462,20090412,unknown,Fit at 40? Fat chance,2
463,20090421,unknown,Kolkata Knight Riders win toss; bowl first,2
464,20090423,city.varanasi,Weavers stage protest,0
465,20090425,city.vadodara,Darshana Chaturvedi,0
466,20090425,city.lucknow,Workshop on IPRs at CDRI,0
467,20090425,sports.more-sports.others,Rossi clinches Japanese MotoGP pole,0
468,20090429,city.varanasi,DM assures repair of roads,0
